Panel,Description,Method,Script,Reference_Output_CSV,Preview_PNG,UMA_Required
a,Binary mixing enthalpy heatmap for 20 hosts x 6 liquid partners,Corrected Miedema semi-empirical model (de Boer 1988),Panel_a_BinaryHeatmap/script_FigA_v2_family_ordered.py,Panel_a_BinaryHeatmap/data_FigA_v2_FamilyOrdered_Origin.csv,Panel_a_BinaryHeatmap/preview_FigA_heatmap.png,No
b,Multi-component cocktail mixing thermodynamics for 20 hosts (40 perturbed points/host),Miedema + Hildebrand regular-solution at 500 K,Panel_b_MultiComponentScatter/script_FigB_v2_family_ordered.py,Panel_b_MultiComponentScatter/data_FigB_v2_Long.csv,Panel_b_MultiComponentScatter/preview_FigB_scatter.png,No
b_demo,Historical c_host=0.25 screening anchor plus c_host=0.75 composition sensitivity,Miedema + Hildebrand-Muggianu composition sensitivity,Panel_b_MultiComponentScatter/verify_FigB_central.py,Panel_b_MultiComponentScatter/data_FigB_composition_sensitivity_regen.csv,(not applicable),No
c,Ordered L12 vs disordered random formation enthalpy at 0 K,UMA-s-1p1 single-point + element reference,Panel_c_OrderedVsDisordered/script_FigC_OriginReady_ElementRef.py,Panel_c_OrderedVsDisordered/data_FigC_Summary.csv,Panel_c_OrderedVsDisordered/preview_FigC_HEIvsHEA.png,Yes
c_ensemble,30 symmetry-distinct L12 B-sublattice configurations vs 30 full-lattice random configurations at 0 K,Fixed-cell UMA-s-1p1 single-point + element reference + Welch interval,Panel_c_OrderedVsDisordered/script_FigC_OrderedEnsemble_Analysis.py,Panel_c_OrderedVsDisordered/data_FigC_OrderedVsDisordered_Ensembles_regen.csv,Panel_c_OrderedVsDisordered/preview_FigC_OrderedVsDisordered_Ensembles_regen.png,Yes
d,HE-IMC vs HEA Gibbs free energy curves as a function of temperature,UMA c-data + ideal configurational entropy,Panel_d_GibbsCurveVsT/script_FigD_GibbsCurve.py,Panel_d_GibbsCurveVsT/data_FigD_GibbsCurve.csv,Panel_d_GibbsCurveVsT/preview_FigD_GibbsCurve.png,Indirect (uses c output)
d_ensemble,HE-IMC vs HEA modeled Gibbs curves using 30 ordered and 30 disordered structures,30+30 fixed-cell UMA ensemble means + ideal configurational-entropy bounds,Panel_d_GibbsCurveVsT/script_FigD_GibbsCurve_Ensemble.py,Panel_d_GibbsCurveVsT/data_FigD_GibbsCurve_Ensemble_regen.csv,Panel_d_GibbsCurveVsT/preview_FigD_GibbsCurve_Ensemble_regen.png,Indirect (uses measured c ensembles)
e,Per-element chemical-potential cascade and delta_G_rxn,Multicomponent symmetric regular solution (liquid) + CEF on 165 fixed-lattice UMA compositions (solid),Panel_e_ChemicalPotentialCascade/scripts/script_C_drive_force_v3.py,Panel_e_ChemicalPotentialCascade/outputs/delta_mu_v3_0K.csv,Panel_e_ChemicalPotentialCascade/outputs/panel_a_v3_schematic.png,Indirect (uses SI Fig. 4 output)
f,Solid-liquid interfacial free energy gamma_SL for 28 candidate hosts,Macroscopic-atom Miedema (de Boer 1988),Panel_f_Wetting/script_FigF_Wetting.py,Panel_f_Wetting/data_FigF_Wetting_Ranked.csv,Panel_f_Wetting/preview_FigF_Wetting.png,No
S2,Atomic size mismatch delta vs delta_H_mix for 28 hosts (Hume-Rothery),Atomic radii + Miedema,SI_Figures/SI_Fig02_SizeMismatch/script_FigE_compute_and_plot.py,SI_Figures/SI_Fig02_SizeMismatch/data_FigE_True_ThreeWay.csv,SI_Figures/SI_Fig02_SizeMismatch/preview_FigE_ThreeWay.png,No
S3,Three-method consensus on Pt-Ga binary stability (15 stoichiometries),Miedema + UMA + CHGNet,SI_Figures/SI_Fig03_TripleConsensus/script_FigF_TripleConsensus.py,SI_Figures/SI_Fig03_TripleConsensus/data_FigF_TripleConsensus_Data.csv,SI_Figures/SI_Fig03_TripleConsensus/preview_FigF_TripleConsensus.png,Yes
S4,165-composition Pt3(Ga_x In_y Sn_z Zn_w) B-sublattice representative landscape,"UMA-s-1p1 fixed-lattice single-point; one deterministic representative occupancy per composition",SI_Figures/SI_Fig04_165CompositionLandscape/script_FigG_ElementRef.py,SI_Figures/SI_Fig04_165CompositionLandscape/data_FigG_165_ElementReferenced_Hf.csv,SI_Figures/SI_Fig04_165CompositionLandscape/preview_FigG_GaSweep.png,Yes
Table2_3,Zn down-selection and liquidus predictor for Ga-In-Sn-Zn + Zn target,Sequential thermodynamic filters + empirical liquidus predictor,SI_Figures/SI_Table01_ZnDownSelection/script_SI_LiquidusPredictor.py,SI_Figures/SI_Table01_ZnDownSelection/data_SI_Liquidus_Scan.csv,SI_Figures/SI_Table01_ZnDownSelection/preview_SI_Liquidus.png,No
S1_Note,Full chemical-potential derivation memo,Mathematical derivation,SI_Note_S1_ChemicalPotential/Formula_Derivations_and_Justifications.md,Panel_e_ChemicalPotentialCascade/outputs/delta_mu_v3_0K.csv,Panel_e_ChemicalPotentialCascade/outputs/panel_a_v3_schematic.png,Indirect
